SKU,Weight (g)
8.90422E+12,210
8.90422E+12,165
8.90422E+12,113
8.90422E+12,65
8.90422E+12,120
8.90422E+12,102
8.90422E+12,65
8.90422E+12,170
8.90422E+12,350
8.90422E+12,165
8.90422E+12,350
8.90422E+12,115
8.90422E+12,150
8.90422E+12,120
8.90422E+12,65
8.90422E+12,137
8.90422E+12,137
8.90422E+12,240
8.90422E+12,121
8.90422E+12,127
8.90422E+12,120
8.90422E+12,160
8.90422E+12,232
8.90422E+12,113
8.90422E+12,240
8.90422E+12,120
8.90422E+12,100
8.90422E+12,490
8.90422E+12,133
8.90422E+12,112
8.90422E+12,112
8.90422E+12,110
8.90422E+12,115
8.90422E+12,150
8.90422E+12,100
8.90422E+12,30
8.90422E+12,115
8.90422E+12,240
8.90422E+12,350
8.90422E+12,140
8.90422E+12,140
8.90422E+12,350
8.90422E+12,350
8.90422E+12,165
8.90422E+12,165
8.90422E+12,290
8.90422E+12,290
8.90422E+12,290
8.90422E+12,112
8.90422E+12,552
GIFTBOX202001,500
GIFTBOX202004,500
GIFTBOX202002,500
8.90422E+12,170
GIFTBOX202003,500
8.90422E+12,250
GIFTBOX202002,500
8.90422E+12,240
8.90422E+12,130
8.90422E+12,600
8.90422E+12,600
8.90422E+12,210
8.90422E+12,210
8.90422E+12,210
8.90422E+12,300
SACHETS001,10
